scenario,base,type,sampleSize,auc,harm,b0,b1,b2,b3,b4,b5,b6,b7,b8,g0,g1,g2,c,averageTrueBenefit,averageObservedBenefit
677,moderate,constant,4250,0.75,absent,-1.69,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,-0.2231435513142097,1,0,0,0.029,0.029
678,moderate,constant,4250,0.75,moderate-positive,-1.69,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,-0.2231435513142097,1,0,0,0.029,0.02175
679,moderate,constant,4250,0.75,strong-positive,-1.69,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,-0.2231435513142097,1,0,0,0.029,0.0145
680,moderate,constant,4250,0.75,negative,-1.69,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,-0.2231435513142097,1,0,0,0.029,0.03625
681,moderate,linear-high,4250,0.75,absent,-1.69,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,-0.46,0.7956044,0,0,0.029,0.029
682,moderate,linear-high,4250,0.75,moderate-positive,-1.69,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,-0.46,0.7956044,0,0,0.029,0.02175
683,moderate,linear-high,4250,0.75,strong-positive,-1.69,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,-0.46,0.7956044,0,0,0.029,0.0145
684,moderate,linear-high,4250,0.75,negative,-1.69,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,-0.46,0.7956044,0,0,0.029,0.03625
685,moderate,quadratic-high,4250,0.75,absent,-1.69,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,-4.42,1,-0.05168458,-5,0.029,0.029
686,moderate,quadratic-high,4250,0.75,moderate-positive,-1.69,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,-4.42,1,-0.05168458,-5,0.029,0.02175
687,moderate,quadratic-high,4250,0.75,strong-positive,-1.69,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,-4.42,1,-0.05168458,-5,0.029,0.0145
688,moderate,quadratic-high,4250,0.75,negative,-1.69,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,-4.42,1,-0.05168458,-5,0.029,0.03625
689,moderate,non-monotonic,4250,0.75,absent,-1.69,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.1734843,1.560407,0.105142,0,0.029,0.029
690,moderate,non-monotonic,4250,0.75,moderate-positive,-1.69,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.1734843,1.560407,0.105142,0,0.029,0.02175
691,moderate,non-monotonic,4250,0.75,strong-positive,-1.69,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.1734843,1.560407,0.105142,0,0.029,0.0145
692,moderate,non-monotonic,4250,0.75,negative,-1.69,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.1734843,1.560407,0.105142,0,0.029,0.03625
693,moderate,constant,17000,0.75,absent,-1.69,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,-0.2231435513142097,1,0,0,0.029,0.029
694,moderate,constant,17000,0.75,moderate-positive,-1.69,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,-0.2231435513142097,1,0,0,0.029,0.02175
695,moderate,constant,17000,0.75,strong-positive,-1.69,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,-0.2231435513142097,1,0,0,0.029,0.0145
696,moderate,constant,17000,0.75,negative,-1.69,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,-0.2231435513142097,1,0,0,0.029,0.03625
697,moderate,linear-high,17000,0.75,absent,-1.69,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,-0.46,0.7956044,0,0,0.029,0.029
698,moderate,linear-high,17000,0.75,moderate-positive,-1.69,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,-0.46,0.7956044,0,0,0.029,0.02175
699,moderate,linear-high,17000,0.75,strong-positive,-1.69,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,-0.46,0.7956044,0,0,0.029,0.0145
