method,risk,lower,upper,lowerRisk,upperRisk
constant,0.001,1.1568036224911549e-4,2.572162582501945e-4,-1,-1
constant,0.001498997995991984,1.733280312575601e-4,3.8542358486461504e-4,-1,-1
constant,0.001997995991983968,2.3092469011687123e-4,5.135356094533767e-4,-1,-1
constant,0.002496993987975952,2.884703299831021e-4,6.415522952694227e-4,-1,-1
constant,0.0029959919839679357,3.459649420102629e-4,7.694736055468057e-4,-1,-1
constant,0.0034949899799599196,4.0340851735031695e-4,8.972995035006668e-4,-1,-1
constant,0.0039939879759519036,4.6080104715318315e-4,0.0010250299523272318,-1,-1
constant,0.004492985971943888,5.181425225667336e-4,0.0011526649152037959,-1,-1
constant,0.004991983967935871,5.754329347367931e-4,0.001280204355288706,-1,-1
constant,0.005490981963927856,6.326722748071383e-4,0.0014076482357213594,-1,-1
constant,0.005989979959919839,6.898605339195006e-4,0.0015349965196221826,-1,-1
constant,0.006488977955911823,7.469977032135589e-4,0.0016622491700926227,-1,-1
constant,0.006987975951903807,8.040837738269472e-4,0.0017894061502151373,-1,-1
constant,0.0074869739478957914,8.611187368952455e-4,0.0019164674230531743,-1,-1
constant,0.007985971943887775,9.181025835519831e-4,0.0020434329516511715,-1,-1
constant,0.00848496993987976,9.750353049286444e-4,0.002170302699034533,-1,-1
constant,0.008983967935871744,0.0010319168921546539,0.002297076628209625,-1,-1
constant,0.009482965931863728,0.001088747336357389,0.0024237547021637605,-1,-1
constant,0.009981963927855712,0.0011455266286621746,0.002550336883865182,-1,-1
constant,0.010480961923847693,0.001202254760192279,0.0026768231362630625,-1,-1
constant,0.010979959919839678,0.0012589317220689177,0.002803213422287477,-1,-1
constant,0.011478957915831662,0.0013155575054112545,0.002929507704849406,-1,-1
constant,0.011977955911823646,0.0013721321013363903,0.0030557059468407062,-1,-1
constant,0.01247695390781563,0.0014286555009593827,0.0031818081111341153,-1,-1
constant,0.012975951903807615,0.0014851276953932162,0.0033078141605832273,-1,-1
constant,0.0134749498997996,0.001541548675748837,0.0034337240580224904,-1,-1
constant,0.013973947895791584,0.0015979184331351168,0.003559537766267174,-1,-1
constant,0.014472945891783565,0.0016542369586588822,0.003685255248113393,-1,-1
constant,0.014971943887775549,0.001710504243424886,0.003810876466338053,-1,-1
constant,0.015470941883767533,0.001766720278535844,0.003936401383698874,-1,-1
constant,0.015969939879759518,0.001822885055092389,0.004061829962934353,-1,-1
constant,0.016468937875751502,0.0018789985641931115,0.004187162166763769,-1,-1
constant,0.016967935871743486,0.0019350607969345198,0.00431239795788715,-1,-1
constant,0.01746693386773547,0.001991071744411089,0.004437537298985291,-1,-1
constant,0.017965931863727455,0.0020470313977152058,0.004562580152719705,-1,-1
constant,0.01846492985971944,0.0021029397479372033,0.004687526481732645,-1,-1
constant,0.018963927855711424,0.002158796786165346,0.00481237624864707,-1,-1
constant,0.019462925851703405,0.0022146025034858676,0.004937129416066628,-1,-1
constant,0.01996192384769539,0.0022703568909828832,0.005061785946575681,-1,-1
constant,0.020460921843687373,0.002326059939738465,0.00518634580273924,-1,-1
constant,0.020959919839679358,0.002381711640832641,0.005310808947102987,-1,-1
constant,0.021458917835671342,0.002437311985343356,0.005435175342193272,-1,-1
constant,0.021957915831663326,0.002492860964346474,0.00555944495051704,-1,-1
constant,0.02245691382765531,0.0025483585689158013,0.005683617734561889,-1,-1
constant,0.02295591182364729,0.002603804790123093,0.005807693656796027,-1,-1
constant,0.023454909819639276,0.0026591996190380067,0.0059316726796682815,-1,-1
constant,0.02395390781563126,0.002714543046728156,0.006055554765608021,-1,-1
constant,0.024452905811623245,0.0027698350642590642,0.006179339877025214,-1,-1
constant,0.02495190380761523,0.0028250756626941906,0.006303027976310396,-1,-1
constant,0.025450901803607213,0.002880264833094926,0.006426619025834655,-1,-1
constant,0.025949899799599198,0.0029354025665206,0.006550112987949606,-1,-1
constant,0.026448897795591182,0.002990488854028438,0.006673509824987372,-1,-1
constant,0.026947895791583167,0.003045523686673623,0.006796809499260622,-1,-1
constant,0.027446893787575147,0.003100507055509255,0.006920011973062502,-1,-1
constant,0.027945891783567132,0.0031554389515863574,0.007043117208666652,-1,-1
constant,0.028444889779559116,0.0032103193659538645,0.007166125168327177,-1,-1
constant,0.0289438877755511,0.0032651482896586693,0.007289035814278656,-1,-1
constant,0.029442885771543085,0.003319925713745561,0.00741184910873611,-1,-1
constant,0.02994188376753507,0.003374651629257256,0.007534565013894995,-1,-1
constant,0.030440881763527054,0.003429326027234404,0.007657183491931191,-1,-1
constant,0.030939879759519034,0.003483948898715554,0.007779704505000983,-1,-1
constant,0.03143887775551102,0.003538520234737221,0.007902128015241075,-1,-1
constant,0.031937875751503,0.003593040026333787,0.008024453984768531,-1,-1
constant,0.03243687374749499,0.0036475082645375965,0.008146682375680805,-1,-1
constant,0.03293587174348697,0.00370192494037888,0.008268813150055699,-1,-1
constant,0.033434869739478956,0.003756290044885813,0.008390846269951359,-1,-1
constant,0.03393386773547094,0.003810603569084485,0.008512781697406286,-1,-1
constant,0.034432865731462925,0.0038648655039988907,0.008634619394439281,-1,-1
constant,0.03493186372745491,0.003919075840650946,0.00875635932304947,-1,-1
constant,0.035430861723446894,0.003973234570060495,0.008878001445216263,-1,-1
constant,0.03592985971943888,0.004027341683245288,0.008999545722899354,-1,-1
constant,0.03642885771543086,0.004081397171220989,0.009120992118038714,-1,-1
constant,0.03692785571142285,0.004135401025001194,0.009242340592554587,-1,-1
constant,0.037426853707414824,0.004189353235597374,0.009363591108347407,-1,-1
constant,0.03792585170340681,0.004243253794018959,0.00948474362729791,-1,-1
constant,0.03842484969939879,0.0042971026912732805,0.009605798111267012,-1,-1
constant,0.03892384769539078,0.0043508999183655426,0.009726754522095829,-1,-1
constant,0.03942284569138276,0.0044046454662989174,0.009847612821605695,-1,-1
constant,0.039921843687374746,0.004458339326074463,0.009968372971598109,-1,-1
constant,0.04042084168336673,0.004511981488691125,0.010089034933854732,-1,-1
constant,0.040919839679358715,0.004565571945145817,0.010209598670137422,-1,-1
constant,0.0414188376753507,0.004619110686433295,0.010330064142188112,-1,-1
constant,0.04191783567134268,0.004672597703546269,0.010450431311728915,-1,-1
constant,0.04241683366733467,0.004726032987475358,0.010570700140462054,-1,-1
constant,0.04291583166332665,0.004779416529209058,0.010690870590069831,-1,-1
constant,0.043414829659318636,0.004832748319733795,0.010810942622214664,-1,-1
constant,0.04391382765531062,0.004886028350033878,0.010930916198539031,-1,-1
constant,0.044412825651302605,0.004939256611091568,0.011050791280665485,-1,-1
constant,0.04491182364729458,0.004992433093886973,0.011170567830196626,-1,-1
constant,0.04541082164328657,0.005045557789398153,0.01129024580871511,-1,-1
constant,0.04590981963927855,0.0050986306886010545,0.011409825177783592,-1,-1
constant,0.046408817635270536,0.0051516517824695095,0.011529305898944735,-1,-1
constant,0.04690781563126252,0.005204621061975282,0.011648687933721242,-1,-1
constant,0.047406813627254504,0.005257538518088015,0.011767971243615775,-1,-1
constant,0.04790581162324649,0.005310404141775277,0.011887155790110963,-1,-1
constant,0.04840480961923847,0.005363217924002516,0.012006241534669419,-1,-1
constant,0.04890380761523046,0.005415979855733074,0.012125228438733678,-1,-1
constant,0.04940280561122244,0.00546868992792823,0.012244116463726236,-1,-1
constant,0.049901803607214426,0.005521348131547112,0.012362905571049484,-1,-1
constant,0.05040080160320641,0.005573954457546794,0.012481595722085745,-1,-1
constant,0.050899799599198395,0.005626508896882223,0.012600186878197214,-1,-1
constant,0.05139879759519038,0.005679011440506236,0.012718679000726003,-1,-1
constant,0.051897795591182364,0.005731462079369578,0.012837072050994054,-1,-1
constant,0.05239679358717435,0.00578386080442091,0.0129553659903032,-1,-1
constant,0.05289579158316633,0.005836207606606748,0.013073560779935087,-1,-1
constant,0.05339478957915831,0.005888502476871494,0.013191656381151183,-1,-1
constant,0.053893787575150294,0.005940745406157536,0.013309652755192853,-1,-1
constant,0.05439278557114228,0.005992936385405042,0.013427549863281152,-1,-1
constant,0.05489178356713426,0.006045075405552148,0.013545347666617009,-1,-1
constant,0.05539078156312625,0.006097162457534843,0.01366304612638109,-1,-1
constant,0.05588977955911823,0.006149197532287018,0.013780645203733835,-1,-1
